id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1519261801724006400	1518870859099766784	2022-04-27 10:26:54 UTC	2022-04-27	10:26:54	+0000	1199226374726176768	hunterstod	Tod Hunters		@arruwe04 @shitegoblin Lah kecbong bujjer mana tau... kalo subsidi dah pada di cabutin... yg ada buat bayar pasukan bujjer kek para kecbong bujjer istana... minyak dinaikin, listrik terus naik... harga mahal.. bujjer ceboh kuat... lawong di transfer ama majikan... yg penting mereka setia jilat pantat..	in	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/HuntersTod/status/1519261801724006400	False		0								[{'screen_name': 'arruwe04', 'name': 'Arruwe04', 'id': '1395761680458469377'}, {'screen_name': 'shitegoblin', 'name': 'kusnan kusnanu fungpu subur alias ki ireng', 'id': '267575914'}]				
1519260447634984960	1519260447634984960	2022-04-27 10:21:31 UTC	2022-04-27	10:21:31	+0000	18305260	paultan	Paul Tan's Automotive News		Harga minyak 28 April-4 Mei — RON 97 naik 13 sen  https://t.co/2p2v1sUkrl	in	[]	['https://paultan.org/2022/04/27/harga-minyak-28-april-4-mei-ron-97-naik-13-sen/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter']	[]	0	1	2	[]	[]	https://twitter.com/paultan/status/1519260447634984960	False		0								[]				
1519255755022647296	1519255755022647296	2022-04-27 10:02:53 UTC	2022-04-27	10:02:53	+0000	1318483730122502144	m__akbar96	Muhammad Akbar 무하마드 아크바르		Harga minyak goreng masih naik didaerah bandarlampung arti nya masih ada yg bermain jika harga sudah normal berati sudah terbuka permainan minyak goreng #Indonesia #news @jokowi	in	[{'screen_name': 'jokowi', 'name': 'joko widodo', 'id': '366987179'}]	[]	[]	0	0	0	['indonesia', 'news']	[]	https://twitter.com/M__Akbar96/status/1519255755022647296	False		0								[]				
1519255042896711681	1519255042896711681	2022-04-27 10:00:03 UTC	2022-04-27	10:00:03	+0000	1124170610920189952	mysumber	MYSumber		TERKINI: Harga Minyak Mingguan   28 April Hingga 4 Mei 2022  RON 97 naik 13 sen RON 95 kekal Diesel kekal    https://t.co/a087KmDM0A  #hargaminyak #hargapetrol #petrolPrice  https://t.co/fUQTiNC1jC	in	[]	['https://mysumber.com/minyak.html']	['https://pbs.twimg.com/media/FRV6Zs3VsAEGIIN.jpg']	0	7	10	['hargaminyak', 'hargapetrol', 'petrolprice']	[]	https://twitter.com/mysumber/status/1519255042896711681	False		1	https://pbs.twimg.com/media/FRV6Zs3VsAEGIIN.jpg							[]				
1519250178221682688	1519250178221682688	2022-04-27 09:40:43 UTC	2022-04-27	09:40:43	+0000	168469708	idcorner	IDCorner 🇮🇩		Waduh! Ekspor Dilarang Harga Minyak Goreng Curah Kok Naik ya -  https://t.co/c4n7F9DIqB   #IDCORNER	in	[]	['https://idcorner.co.id/2022/04/27/waduh-ekspor-dilarang-harga-minyak-goreng-curah-kok-naik-ya/']	[]	0	0	0	['idcorner']	[]	https://twitter.com/IDCorner/status/1519250178221682688	False		0								[]				
1519246421605724160	1519151946191425536	2022-04-27 09:25:47 UTC	2022-04-27	09:25:47	+0000	1145277238633488384	dfirdiansyah1	dfirdiansyah		@Sahabat_Bangsa Bkn pemerintah, tp pasar global. Karena harga minyak naik, migor jg jd naik di Indonesia. Kalaupun sembako naik, itu karena mau lebaran. Jd bkn salah pemerintah jg sebenarnya.	in	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/dfirdiansyah1/status/1519246421605724160	False		0								[{'screen_name': 'Sahabat_Bangsa', 'name': 'sahabat bangsa', 'id': '1168746690'}]				
1519241976402509824	1519036102035730432	2022-04-27 09:08:07 UTC	2022-04-27	09:08:07	+0000	1670536742	nawibowo77	nugroho ari -Rz		@KompasTV Kenapa bisa harga minyak naik drastis sedangkan harga bahan baku nya malah anjlog?	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/nawibowo77/status/1519241976402509824	False		0								[{'screen_name': 'KompasTV', 'name': 'KOMPAS TV', 'id': '71436318'}]				
1519241934556254208	1519128232045744128	2022-04-27 09:07:58 UTC	2022-04-27	09:07:58	+0000	1313287898	arrosidnu	Punggung 4		@EnitaEnita4 @kurukatonacho @susipudjiastuti Mohon maaf pak harga sawit naik pun petani sawit masih ketemu banyak masalah, mulai dari harga pupuk yang makin tinggi hingga jumlah maling sawit yang tidak terkendali. Satu lagi, kami juga tetap beli minyak goreng mahal, tidak buat sendiri dari sawit yang kami panen.	in	[]	[]	[]	1	0	5	[]	[]	https://twitter.com/ArrosidNu/status/1519241934556254208	False		0								[{'screen_name': 'EnitaEnita4', 'name': 'Enita Enita', 'id': '1514390247836389376'}, {'screen_name': 'kurukatonacho', 'name': 'Nacho', 'id': '1433878925105459203'}, {'screen_name': 'susipudjiastuti', 'name': 'Susi Pudjiastuti', 'id': '2606229566'}]				
1519240568253022208	1519240568253022208	2022-04-27 09:02:32 UTC	2022-04-27	09:02:32	+0000	113654135	metharsih	meth		Harga Minyak goreng naik 2x lipat kenapa gaji saya tidak 😭	in	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/metharsih/status/1519240568253022208	False		0								[]				
1519237718676434944	1519128232045744128	2022-04-27 08:51:12 UTC	2022-04-27	08:51:12	+0000	1230183711519305729	sibadogil14	🇮🇩 MARDAUP 14 🇮🇩 🇦🇶		@ViraCell4 @susipudjiastuti Maka dari itu jgn rewel jika harga minyak goreng naik	in	[]	[]	[]	2	0	5	[]	[]	https://twitter.com/Sibadogil14/status/1519237718676434944	False		0								[{'screen_name': 'ViraCell4', 'name': 'Dedhi', 'id': '1231516470196064256'}, {'screen_name': 'susipudjiastuti', 'name': 'Susi Pudjiastuti', 'id': '2606229566'}]				
1519235673257291777	1519235673257291777	2022-04-27 08:43:05 UTC	2022-04-27	08:43:05	+0000	95384897	seputarforex	Seputarforex		China Akan Kucurkan Stimulus, Harga Minyak Terangkat Naik - Berita Minyak  https://t.co/bzp4EV0mwV  Info lainnya cek di:  https://t.co/2nC0H0fthQ  #kabarforex #analisaforex #tradingforex #Seputarforex #TraderIndonesia #peluangtrading	in	[]	['https://www.w3go.icu/berita-270422-297655-tw', 'http://bit.ly/seputarforex']	[]	0	0	0	['kabarforex', 'analisaforex', 'tradingforex', 'seputarforex', 'traderindonesia', 'peluangtrading']	[]	https://twitter.com/seputarforex/status/1519235673257291777	False		0								[]				
1519235587965861888	1519235587965861888	2022-04-27 08:42:44 UTC	2022-04-27	08:42:44	+0000	1261370383715819520	nusadailycom	NusaDaily.com		Harga Minyak Sawit Naik 33%, Dorong Harga Mie Instan, Biskuit, dan Kosmetik  https://t.co/JGmrn78uvp	in	[]	['https://nusadaily.com/international/harga-minyak-sawit-naik-33-dorong-harga-mie-instan-biskuit-dan-kosmetik.html']	[]	0	1	0	[]	[]	https://twitter.com/NusadailyCom/status/1519235587965861888	False		0								[]				
1519231770683932672	1519231770683932672	2022-04-27 08:27:34 UTC	2022-04-27	08:27:34	+0000	1320941403573161984	diahenur	diah enur		Di Lumajang, AHY Dengarkan Bapak-bapak Keluhkan Harga Minyak Goreng Naik  https://t.co/krGxBo8OcZ #DemokratPeduliBerbagi AHY Bersama Rakyat	in	[]	['https://twitter.com/galery_ahy/status/1518195162648031232/photo/1']	[]	0	0	0	['demokratpeduliberbagi']	[]	https://twitter.com/DiahEnur/status/1519231770683932672	False		0								[]				
1519229014518697984	1519036102035730432	2022-04-27 08:16:37 UTC	2022-04-27	08:16:37	+0000	1647962930	arirarii	Saya Aslinya 4 Orang		@BukanLayu @KompasTV Ilustrasinya, misal ada 10 orang yang mau beli minyak, tapi pedagang cuma punya 4 jadi dari 10 itu dijual ke pembeli dengan harga tertinggi.  Pedagang mau untung dan pembeli butuh barangnya. semakin banyak yg beli dan semakin sedikit yang jual harganya akan terus naik.	in	[]	[]	[]	3	0	0	[]	[]	https://twitter.com/AriRarii/status/1519229014518697984	False		0								[{'screen_name': 'KompasTV', 'name': 'KOMPAS TV', 'id': '71436318'}]				
